Configuration,Mean Error,Median Error,Max Error,P95 Error,Std Dev,Algorithm
"{'model': <class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>, 'random_state': 42}",1.29445194463,1.00696187716,4.74313223947,3.17211029823,1.02162268088,Bayesian
"{'model': <class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>, 'random_state': 42}",1.29445194463,1.00696187716,4.74313223947,3.17211029823,1.02162268088,Bayesian
"{'model': <class 'sklearn.tree._classes.DecisionTreeRegressor'>, 'max_depth': None, 'min_samples_split': 2, 'random_state': 42}",1.57389808546,1.39338948767,4.67868795725,3.65172445666,1.08963510283,DecisionTree
"{'model': <class 'sklearn.tree._classes.DecisionTreeRegressor'>, 'max_depth': 10, 'min_samples_split': 5, 'random_state': 42}",1.61144424172,1.35931878539,4.86375905325,3.6779167033,1.10412988317,DecisionTree
"{'model': <class 'sklearn.tree._classes.DecisionTreeRegressor'>, 'max_depth': None, 'min_samples_split': 2, 'random_state': 42}",1.57389808546,1.39338948767,4.67868795725,3.65172445666,1.08963510283,DecisionTree
"{'model': <class 'sklearn.neural_network._multilayer_perceptron.MLPRegressor'>, 'hidden_layer_sizes': (100,), 'activation': 'relu', 'solver': 'adam', 'random_state': 42}",1.74265857262,1.66807230647,4.71160630372,3.51712853842,1.00251180056,DeepLearning
"{'model': <class 'sklearn.neural_network._multilayer_perceptron.MLPRegressor'>, 'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'solver': 'sgd', 'random_state': 42}",2.4445946646,2.29178742035,5.85553754622,4.80512578426,1.38590261156,DeepLearning
"{'model': <class 'sklearn.neural_network._multilayer_perceptron.MLPRegressor'>, 'hidden_layer_sizes': (100,), 'activation': 'relu', 'solver': 'adam', 'random_state': 42}",1.74265857262,1.66807230647,4.71160630372,3.51712853842,1.00251180056,DeepLearning
"{'model': <class 'sklearn.linear_model._coordinate_descent.ElasticNet'>, 'alpha': 1.0, 'l1_ratio': 0.5, 'random_state': 42}",3.98967901351,3.89896203936,8.70345553257,7.53646420575,1.99335134684,Elastic
"{'model': <class 'sklearn.linear_model._coordinate_descent.ElasticNet'>, 'alpha': 0.5, 'l1_ratio': 0.7, 'random_state': 42}",3.98967901351,3.89896203936,8.70345553257,7.53646420575,1.99335134684,Elastic
"{'model': <class 'sklearn.linear_model._coordinate_descent.ElasticNet'>, 'alpha': 1.0, 'l1_ratio': 0.5, 'random_state': 42}",3.98967901351,3.89896203936,8.70345553257,7.53646420575,1.99335134684,Elastic
"{'model': <class 'sklearn.ensemble._gb.GradientBoostingRegressor'>, 'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 42}",1.33292392561,1.1545625556,4.31797188726,3.16594846217,0.93259097969,GradientBoost
