Configuration,Mean Error,Median Error,Max Error,P95 Error,Std Dev
1.0,14.2423599117,9.13410633001,54.4554124844,40.2565747223,12.5058276337
2.0,8.25692440705,6.22900821625,37.0281987104,21.0133747114,6.24759707919
3.0,7.31077165573,5.28557350072,37.0525393107,20.7425106634,6.15675958853
4.0,7.4749025866,5.87698999748,35.515188741,21.0459445428,6.19256723779
5.0,7.69769502105,6.36115126923,34.7242989018,21.3650138425,6.19006283251
6.0,7.50354522607,6.23695397526,33.6123891433,19.5392969498,6.04825274594
7.0,7.65375387592,6.31398166522,32.8177000173,19.6549326524,6.14246270814
8.0,7.42309356495,5.8304608431,36.5328718522,21.4268928916,6.4176123681
9.0,7.14523799495,5.3449430462,33.4792964448,19.8027601319,6.01118706464
10.0,7.62387176922,5.45597862384,50.2715061395,20.8465749211,7.02397675073
